,Date,Other,Black,White,Asian,Hispanic,Fips,State
0,2021-01-07 00:00:00,0,15,66,0,0,12007,FL
1,2021-01-14 00:00:00,0,10,50,0,1,12007,FL
2,2021-01-21 00:00:00,0,7,37,0,0,12007,FL
3,2021-01-28 00:00:00,0,5,33,0,0,12007,FL
4,2021-02-04 00:00:00,0,3,38,0,0,12007,FL
5,2021-02-11 00:00:00,0,5,24,0,2,12007,FL
6,2021-02-18 00:00:00,0,32,48,0,4,12007,FL
7,2021-02-25 00:00:00,0,3,14,0,0,12007,FL
8,2021-03-04 00:00:00,0,0,11,0,0,12007,FL
9,2021-03-11 00:00:00,0,7,23,0,1,12007,FL
10,2021-03-18 00:00:00,0,0,8,0,0,12007,FL
11,2021-03-25 00:00:00,0,0,0,0,0,12007,FL
0,2021-01-07 00:00:00,0,2,20,0,0,12029,FL
1,2021-01-14 00:00:00,0,5,20,0,0,12029,FL
2,2021-01-21 00:00:00,0,0,21,0,0,12029,FL
3,2021-01-28 00:00:00,0,1,16,0,0,12029,FL
4,2021-02-04 00:00:00,0,1,4,0,0,12029,FL
5,2021-02-11 00:00:00,0,0,9,0,0,12029,FL
6,2021-02-18 00:00:00,0,2,11,0,0,12029,FL
7,2021-02-25 00:00:00,0,1,14,0,0,12029,FL
8,2021-03-04 00:00:00,0,0,6,0,0,12029,FL
9,2021-03-11 00:00:00,0,2,10,0,1,12029,FL
10,2021-03-18 00:00:00,0,3,19,0,0,12029,FL
11,2021-03-25 00:00:00,0,0,0,0,0,12029,FL
0,2021-01-07 00:00:00,0,0,41,0,0,12045,FL
1,2021-01-14 00:00:00,0,9,52,0,0,12045,FL
2,2021-01-21 00:00:00,0,6,56,0,0,12045,FL
3,2021-01-28 00:00:00,0,8,31,0,1,12045,FL
4,2021-02-04 00:00:00,0,3,22,0,0,12045,FL
5,2021-02-11 00:00:00,0,2,17,0,0,12045,FL
6,2021-02-18 00:00:00,0,1,27,0,0,12045,FL
7,2021-02-25 00:00:00,0,1,12,0,0,12045,FL
8,2021-03-04 00:00:00,0,2,7,0,0,12045,FL
9,2021-03-11 00:00:00,0,2,37,0,2,12045,FL
10,2021-03-18 00:00:00,0,0,10,0,0,12045,FL
11,2021-03-25 00:00:00,0,0,0,0,0,12045,FL
0,2021-01-07 00:00:00,0,8,10,0,21,12051,FL
1,2021-01-14 00:00:00,0,10,27,0,15,12051,FL
2,2021-01-21 00:00:00,0,6,9,0,18,12051,FL
3,2021-01-28 00:00:00,0,6,7,0,17,12051,FL
4,2021-02-04 00:00:00,0,3,11,0,14,12051,FL
5,2021-02-11 00:00:00,0,4,7,0,15,12051,FL
6,2021-02-18 00:00:00,0,12,15,0,30,12051,FL
7,2021-02-25 00:00:00,0,5,4,0,13,12051,FL
8,2021-03-04 00:00:00,0,1,5,0,7,12051,FL
9,2021-03-11 00:00:00,1,8,16,0,47,12051,FL
10,2021-03-18 00:00:00,0,2,14,0,18,12051,FL
11,2021-03-25 00:00:00,0,0,0,0,0,12051,FL
0,2021-01-07 00:00:00,0,10,241,1,59,12053,FL
1,2021-01-14 00:00:00,0,18,203,2,49,12053,FL
2,2021-01-21 00:00:00,0,8,222,0,43,12053,FL
3,2021-01-28 00:00:00,0,17,199,2,42,12053,FL
4,2021-02-04 00:00:00,0,10,138,0,41,12053,FL
5,2021-02-11 00:00:00,0,19,154,0,61,12053,FL
6,2021-02-18 00:00:00,0,14,176,0,44,12053,FL
7,2021-02-25 00:00:00,0,15,207,2,60,12053,FL
8,2021-03-04 00:00:00,0,10,107,1,30,12053,FL
9,2021-03-11 00:00:00,0,19,241,1,57,12053,FL
10,2021-03-18 00:00:00,0,7,65,1,27,12053,FL
11,2021-03-25 00:00:00,0,0,0,0,0,12053,FL
0,2021-01-07 00:00:00,1,12,61,3,47,12093,FL
1,2021-01-14 00:00:00,1,3,55,0,40,12093,FL
2,2021-01-21 00:00:00,1,4,43,0,36,12093,FL
3,2021-01-28 00:00:00,0,2,52,0,24,12093,FL
4,2021-02-04 00:00:00,0,2,17,0,11,12093,FL
5,2021-02-11 00:00:00,0,4,37,0,13,12093,FL
6,2021-02-18 00:00:00,0,4,17,1,7,12093,FL
7,2021-02-25 00:00:00,0,2,23,0,9,12093,FL
8,2021-03-04 00:00:00,0,0,14,0,5,12093,FL
9,2021-03-11 00:00:00,0,3,46,0,19,12093,FL
10,2021-03-18 00:00:00,0,2,15,0,12,12093,FL
11,2021-03-25 00:00:00,0,0,0,0,0,12093,FL
0,2021-01-07 00:00:00,0,23,122,0,10,12107,FL
1,2021-01-14 00:00:00,0,37,89,0,12,12107,FL
2,2021-01-21 00:00:00,0,34,105,0,18,12107,FL
3,2021-01-28 00:00:00,0,22,60,0,15,12107,FL
4,2021-02-04 00:00:00,0,21,37,0,8,12107,FL
5,2021-02-11 00:00:00,0,14,38,0,7,12107,FL
6,2021-02-18 00:00:00,0,3,34,0,6,12107,FL
7,2021-02-25 00:00:00,0,8,18,0,6,12107,FL
8,2021-03-04 00:00:00,0,8,14,0,2,12107,FL
9,2021-03-11 00:00:00,0,10,34,0,13,12107,FL
10,2021-03-18 00:00:00,0,2,34,0,3,12107,FL
11,2021-03-25 00:00:00,0,0,0,0,0,12107,FL
0,2021-01-07 00:00:00,0,10,56,0,9,12121,FL
1,2021-01-14 00:00:00,0,7,50,0,12,12121,FL
2,2021-01-21 00:00:00,0,10,24,0,10,12121,FL
3,2021-01-28 00:00:00,0,8,40,0,1,12121,FL
4,2021-02-04 00:00:00,0,2,29,0,2,12121,FL
5,2021-02-11 00:00:00,0,0,18,0,3,12121,FL
6,2021-02-18 00:00:00,0,10,32,0,11,12121,FL
7,2021-02-25 00:00:00,0,2,10,0,1,12121,FL
